datetime,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,clouds
1686103522,283.88,283.1,282.88,284.32,1022,80,10000,5.14,50,75
1686104060,283.82,283.03,282.88,284.32,1022,80,10000,5.14,50,75
1686104060,283.82,283.03,282.88,284.32,1022,80,10000,5.14,50,75
1686104060,283.82,283.03,282.88,284.32,1022,80,10000,5.14,50,75
1686104060,283.82,283.03,282.88,284.32,1022,80,10000,5.14,50,75
1686104060,283.82,283.03,282.88,284.32,1022,80,10000,5.14,50,75
1686104790,283.85,283.09,282.88,284.32,1022,81,10000,5.14,50,75
1686104790,283.85,283.09,282.88,284.32,1022,81,10000,5.14,50,75
1686104790,283.85,283.09,282.88,284.32,1022,81,10000,5.14,50,75
1686104864,283.85,283.09,282.88,284.32,1022,81,10000,5.14,50,75
1686104864,283.85,283.09,282.88,284.32,1022,81,10000,5.14,50,75
1686104864,283.85,283.09,282.88,284.32,1022,81,10000,5.14,50,75
1686105390,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105390,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105541,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105541,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105911,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105966,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105966,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686105966,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686106144,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686106234,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686106453,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686106590,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686106590,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686106641,283.85,283.09,282.88,284.71,1022,81,10000,4.63,60,75
1686107122,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107273,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107273,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107273,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107273,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107445,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107445,283.79,283.05,282.88,284.28,1022,82,10000,4.12,60,75
1686107900,283.78,283.04,282.88,284.28,1022,82,10000,4.12,60,75
1686107900,283.78,283.04,282.88,284.28,1022,82,10000,4.12,60,75
1686108049,283.78,283.04,282.88,284.28,1022,82,10000,4.12,60,75
1686108049,283.78,283.04,282.88,284.28,1022,82,10000,4.12,60,75
1686108507,283.77,283.03,282.88,284.28,1022,82,10000,4.12,60,75
1686108507,283.77,283.03,282.88,284.28,1022,82,10000,4.12,60,75
1686108507,283.77,283.03,282.88,284.28,1022,82,10000,4.12,60,75
1686108507,283.77,283.03,282.88,284.28,1022,82,10000,4.12,60,75
1686108556,283.77,283.03,282.88,284.28,1022,82,10000,4.12,60,75
1686108986,283.69,282.89,282.88,284.26,1022,80,10000,4.12,70,75
1686108986,283.69,282.89,282.88,284.26,1022,80,10000,4.12,70,75
1686108986,283.69,282.89,282.88,284.26,1022,80,10000,4.12,70,75
1686109231,283.69,282.89,282.88,284.26,1022,80,10000,4.12,70,75
1686109231,283.69,282.89,282.88,284.26,1022,80,10000,4.12,70,75
1686109755,283.7,282.93,282.88,284.26,1022,81,10000,4.12,70,75
1686109755,283.7,282.93,282.88,284.26,1022,81,10000,4.12,70,75
1686109755,283.7,282.93,282.88,284.26,1022,81,10000,4.12,70,75
1686109866,283.7,282.93,282.88,284.26,1022,81,10000,4.12,70,75
1686109866,283.7,282.93,282.88,284.26,1022,81,10000,4.12,70,75
1686110370,283.71,282.94,282.88,284.26,1022,81,10000,4.12,70,75
1686110370,283.71,282.94,282.88,284.26,1022,81,10000,4.12,70,75
1686110370,283.71,282.94,282.88,284.26,1022,81,10000,4.12,70,75
1686110370,283.71,282.94,282.88,284.26,1022,81,10000,4.12,70,75
1686110370,283.71,282.94,282.88,284.26,1022,81,10000,4.12,70,75
1686110715,283.71,282.94,283.03,284.37,1022,81,10000,4.12,60,75
1686110715,283.71,282.94,283.03,284.37,1022,81,10000,4.12,60,75
1686110892,283.71,282.94,283.03,284.37,1022,81,10000,4.12,60,75
1686110892,283.71,282.94,283.03,284.37,1022,81,10000,4.12,60,75
1686110954,283.71,282.94,283.03,284.37,1022,81,10000,4.12,60,75
1686111069,283.71,282.94,283.03,284.37,1022,81,10000,4.12,60,75
1686111301,283.71,282.94,283.03,284.37,1021,81,10000,4.12,60,75
1686111469,283.71,282.94,283.03,284.37,1021,81,10000,4.12,60,75
1686111469,283.71,282.94,283.03,284.37,1021,81,10000,4.12,60,75
1686111469,283.71,282.94,283.03,284.37,1021,81,10000,4.12,60,75
1686111652,283.71,282.94,283.03,284.37,1021,81,10000,4.12,60,75
1686112054,283.66,282.91,283.03,284.37,1021,82,10000,4.12,60,75
1686112204,283.65,282.9,282.91,284.37,1021,82,10000,4.12,60,75
1686112204,283.65,282.9,282.91,284.37,1021,82,10000,4.12,60,75
1686112218,283.64,282.89,282.91,284.37,1021,82,10000,4.12,60,75
1686112218,283.64,282.89,282.91,284.37,1021,82,10000,4.12,60,75
1686112698,283.75,283.03,282.91,284.48,1021,83,10000,5.14,60,75
1686112833,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686112833,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686112880,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686112880,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686113211,283.78,283.07,282.91,284.48,1022,83,10000,5.14,60,75
1686113355,283.78,283.07,282.91,284.48,1022,83,10000,5.14,60,75
1686113355,283.78,283.07,282.91,284.48,1022,83,10000,5.14,60,75
1686113355,283.78,283.07,282.91,284.48,1022,83,10000,5.14,60,75
1686113355,283.78,283.07,282.91,284.48,1022,83,10000,5.14,60,75
1686113790,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686113790,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686113790,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686114026,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686114026,283.75,283.03,282.91,284.48,1022,83,10000,5.14,60,75
1686114590,283.78,283.07,282.91,284.48,1022,83,10000,4.63,50,75
1686114636,283.78,283.07,282.91,284.48,1022,83,10000,4.63,50,75
1686114636,283.78,283.07,282.91,284.48,1022,83,10000,4.63,50,75
1686114636,283.78,283.07,282.91,284.48,1022,83,10000,4.63,50,75
1686114636,283.78,283.07,282.91,284.48,1022,83,10000,4.63,50,75
